day,wd,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,energy,peak_power,peak_duration,peak_intensity,is_peak,activity,month,day_of_month,day_of_week,is_weekend,building_id
2018-06-01,5,16.8,15.96,15.81,15.48,15.32,18.27,22.62,24.72,25.54,26.43,23973.819999999996,1414.656,0,0.0,False,0.58,6,1,4,0,B1
2018-06-02,6,14.81,14.35,13.62,13.31,13.53,18.24,21.04,24.39,27.0,27.34,20847.559999999998,1095.168,0,0.0,False,0.0,6,2,5,1,B1
2018-06-03,7,14.74,14.65,14.28,13.89,13.65,18.47,21.62,24.64,26.16,26.64,20445.519999999997,1053.696,0,0.0,False,0.08,6,3,6,1,B1
2018-06-04,1,14.75,13.93,13.49,13.13,13.51,19.29,22.03,25.57,27.6,28.62,24127.719999999998,1408.512,0,0.0,False,0.98,6,4,0,0,B1
2018-06-05,2,16.86,17.44,16.75,15.83,15.37,18.04,21.21,25.59,25.18,26.89,23251.059999999998,1434.624,0,0.0,False,0.98,6,5,1,0,B1
2018-06-06,3,14.04,13.5,13.31,12.99,12.53,17.89,20.65,24.64,25.99,26.61,23336.559999999998,1342.464,0,0.0,False,0.98,6,6,2,0,B1
2018-06-07,4,16.09,15.78,15.48,14.91,15.17,17.82,20.62,24.27,25.86,26.67,23622.699999999997,1414.656,0,0.0,False,0.98,6,7,3,0,B1
2018-06-08,5,15.95,15.23,15.29,15.83,15.68,17.9,19.53,17.84,17.18,19.03,23255.239999999998,1334.784,0,0.0,False,0.58,6,8,4,0,B1
2018-06-09,6,17.98,18.21,17.96,18.11,17.14,18.04,19.96,21.12,23.59,25.36,20677.319999999996,1093.632,0,0.0,False,0.08,6,9,5,1,B1
2018-06-10,7,17.14,16.12,15.4,14.76,14.79,19.99,22.79,26.46,27.8,28.28,21012.859999999997,1112.064,0,0.0,False,0.08,6,10,6,1,B1
2018-06-11,1,17.5,17.17,16.94,16.58,17.28,19.2,23.33,25.45,26.78,27.74,25839.239999999998,1485.312,8,8.161,True,0.98,6,11,0,0,B1
2018-06-12,2,18.22,17.54,16.88,16.87,17.14,19.52,24.03,26.82,28.78,30.25,25216.04,1517.568,7,7.162,True,0.98,6,12,1,0,B1
2018-06-13,3,16.93,17.84,18.23,18.3,18.02,19.2,21.84,23.05,20.87,18.34,23305.78,1307.136,0,0.0,False,0.98,6,13,2,0,B1
2018-06-14,4,17.89,17.97,17.55,17.41,17.39,17.4,17.98,19.17,19.43,20.32,22511.96,1281.0240000000001,0,0.0,False,0.98,6,14,3,0,B1
2018-06-15,5,17.1,16.84,16.59,16.56,16.49,16.6,17.31,19.12,20.23,21.8,22214.8,1219.584,0,0.0,False,0.58,6,15,4,0,B1
2018-06-16,6,18.82,18.5,17.75,16.37,17.02,19.1,20.11,21.83,23.31,25.25,21519.399999999998,1156.608,0,0.0,False,0.08,6,16,5,1,B1
2018-06-17,7,19.11,18.77,18.04,17.16,17.39,21.0,22.35,24.36,26.0,26.4,20730.519999999997,1038.3359999999998,0,0.0,False,0.08,6,17,6,1,B1
2018-06-18,1,17.71,17.98,17.47,18.02,17.48,20.86,21.76,24.19,27.55,29.24,24275.16,1405.44,0,0.0,False,0.98,6,18,0,0,B1
2018-06-19,2,19.76,19.82,19.32,18.93,18.87,22.4,22.54,23.76,25.43,27.11,24977.019999999997,1405.44,0,0.0,False,0.98,6,19,1,0,B1
2018-06-20,3,20.79,20.79,21.02,20.25,20.42,23.29,23.26,24.06,25.79,26.61,25020.719999999998,1425.408,0,0.0,False,0.98,6,20,2,0,B1
2018-06-21,4,17.26,16.86,16.58,16.32,16.41,22.65,24.97,27.2,28.34,29.1,25008.94,1443.84,1,1.003,True,0.98,6,21,3,0,B1
2018-06-22,5,20.82,20.38,19.1,17.83,17.72,17.78,18.07,17.62,17.22,15.73,21666.08,1164.288,0,0.0,False,0.58,6,22,4,0,B1
2018-06-23,6,12.29,11.68,11.24,11.13,11.91,14.95,16.05,17.56,19.33,21.46,18775.8,924.672,0,0.0,False,0.08,6,23,5,1,B1
2018-06-24,7,13.1,14.08,13.75,14.57,14.35,14.74,16.79,19.51,22.85,24.22,18340.319999999996,904.704,0,0.0,False,0.08,6,24,6,1,B1
2018-06-25,1,15.77,14.86,14.95,15.59,15.64,14.36,13.76,13.62,13.88,14.12,21221.859999999997,1148.9279999999999,0,0.0,False,0.98,6,25,0,0,B1
2018-06-26,2,14.62,14.26,13.67,13.21,14.23,16.84,17.54,18.76,20.28,22.15,22217.08,1293.312,0,0.0,False,0.98,6,26,1,0,B1
2018-06-27,3,16.92,16.5,16.05,15.43,15.86,18.98,19.26,20.09,21.38,23.42,22583.78,1294.848,0,0.0,False,0.98,6,27,2,0,B1
2018-06-28,4,15.54,15.32,15.88,15.5,15.45,15.43,16.26,17.75,19.09,22.35,22285.48,1250.304,0,0.0,False,0.98,6,28,3,0,B1
2018-06-29,5,15.57,14.15,13.52,14.09,14.66,16.86,20.04,21.82,23.26,24.33,22847.88,1300.992,0,0.0,False,0.58,6,29,4,0,B1
2018-06-30,6,16.8,16.42,16.08,17.27,17.29,20.78,22.45,24.48,28.39,29.54,21363.219999999998,1110.528,0,0.0,False,0.08,6,30,5,1,B1
2018-07-01,7,20.51,17.27,17.22,16.51,14.67,14.96,15.73,16.75,17.91,18.86,18437.6,926.208,0,0.0,False,0.08,7,1,6,1,B1
2018-07-02,1,18.66,18.42,18.32,17.91,18.14,18.59,18.67,20.21,23.27,25.54,22753.64,1313.28,0,0.0,False,0.6799999999999999,7,2,0,0,B1
2018-07-03,2,19.88,19.69,19.29,19.62,19.5,20.0,21.92,24.28,25.68,28.37,24383.84,1431.552,0,0.0,False,0.6799999999999999,7,3,1,0,B1
2018-07-04,3,20.6,20.05,19.77,18.93,17.89,20.37,23.73,25.26,26.33,27.88,24544.199999999997,1416.192,0,0.0,False,0.6799999999999999,7,4,2,0,B1
2018-07-05,4,17.61,17.02,16.41,15.94,15.95,20.26,22.87,26.86,28.23,29.26,24681.76,1436.1599999999999,0,0.0,False,0.6799999999999999,7,5,3,0,B1
2018-07-06,5,17.23,16.81,17.02,16.15,15.13,18.23,20.95,23.75,24.72,26.71,22135.76,1308.672,0,0.0,False,0.39999999999999997,7,6,4,0,B1
